lipid	class	logFC	mean_DG	mean_NG	p_value	method	FDR	sig	direction
LPE_(20:4)	LPE	0.016372511832194	6.34851871434556	6.33214620251336	0.859397198036188	Mann-Whitney	0.859397198036188	FALSE	Up in DG
LPE_(22:6)	LPE	-0.458693157815357	1.90317795012023	2.36187110793559	0.679364628557786	Mann-Whitney	0.859397198036188	FALSE	Down in DG
LPE_(18:1)	LPE	0.51971506779849	3.38481059038269	2.8650955225842	0.859397198036188	Mann-Whitney	0.859397198036188	FALSE	Up in DG
PE_(38:2)	PE	0.00497965144691292	-2.34863424054202	-2.35361389198894	0.823481348154978	Mann-Whitney	0.869715428562957	FALSE	Up in DG
PE_(37:4)	PE	-0.0322735767801299	-0.495858766835892	-0.463585190055762	0.869715428562957	Mann-Whitney	0.869715428562957	FALSE	Down in DG
PC-P_(34:2)	PC-P	-0.0120271865501351	5.37775514678081	5.38978233333094	0.797462878219611	t-test	0.877209166041572	FALSE	Down in DG
TG_(54:6)	TG	-0.0210448303018875	0.923529238550288	0.944574068852176	0.865300237685335	t-test	0.903335412968207	FALSE	Down in DG
PI_(34:0)	PI	-0.0236806828918219	-2.32175794211424	-2.29807725922242	0.904605366234996	t-test	0.904605366234996	FALSE	Down in DG
SM_(39:0)	SM	0.302105214868203	-5.80291586445933	-6.10502107932753	0.747847327586818	Mann-Whitney	0.910422833583953	FALSE	Up in DG
GB3_(42:1)	GB3	-0.0899410864611365	1.72122937741958	1.81117046388071	0.932023128822489	Mann-Whitney	0.932023128822489	FALSE	Down in DG
TG_(52:4)	TG	-0.0103707969706743	2.82532697075822	2.8356977677289	0.902706312574692	t-test	0.932142387984736	FALSE	Down in DG
PC_(32:1)	PC	0.0791550619140717	2.5523580394307	2.47320297751663	0.869715428562957	Mann-Whitney	0.93252910386958	FALSE	Up in DG
PC_(39:5)	PC	-0.305725899691692	-7.10520293095708	-6.79947703126538	0.869715428562957	Mann-Whitney	0.93252910386958	FALSE	Down in DG
PC_(32:2)	PC	-0.0227096654177918	-1.45659512305627	-1.43388545763848	0.861816909607367	t-test	0.93252910386958	FALSE	Down in DG
PC_(36:1)	PC	-0.0124868087227235	2.18977612821681	2.20226293693954	0.876012188483545	t-test	0.93252910386958	FALSE	Down in DG
PC_(40:5)	PC	-0.427131749790589	-6.37648957553323	-5.94935782574264	0.818380887774657	Mann-Whitney	0.93252910386958	FALSE	Down in DG
PC_(34:4)	PC	-0.0397157106136232	-5.54127997181012	-5.50156426119649	0.774776913533575	t-test	0.93252910386958	FALSE	Down in DG
TG_(58:10)	TG	0.372867877479108	-5.03750395446653	-5.41037183194563	0.921605164018034	Mann-Whitney	0.941424629910895	FALSE	Up in DG
PC-O_(38:3)	PC-O	-0.0200499320541807	-0.984657012213595	-0.964607080159414	0.854913978535508	t-test	0.942467587414419	FALSE	Down in DG
PC-O_(30:0)	PC-O	0.142662808160769	-0.827159155247999	-0.969821963408768	0.890416845063829	Mann-Whitney	0.942467587414419	FALSE	Up in DG
PC-O_(34:0)	PC-O	0.020322740201918	-0.651307965443849	-0.671630705645767	0.942467587414419	Mann-Whitney	0.942467587414419	FALSE	Up in DG
PC_(30:1)	PC	0.0116878124571294	-3.616667734045	-3.62835554650213	0.947064707311185	t-test	0.947064707311185	FALSE	Up in DG
PC_(31:1)	PC	-0.0149606468049823	-4.13314004733359	-4.11817940052861	0.929624833361056	t-test	0.947064707311185	FALSE	Down in DG
SM_(34:2-OH)	SM	-0.0238936009231354	-7.70606527153179	-7.68217167060865	0.833708378252115	Mann-Whitney	0.947724473163155	FALSE	Down in DG
SM_(36:0)	SM	-1.2864214885747	-3.680478988138	-2.3940574995633	0.880029867937216	Mann-Whitney	0.947724473163155	FALSE	Down in DG
SM_(33:1)	SM	-0.0162634219511613	-0.585686195882574	-0.569422773931412	0.863449422797622	t-test	0.947724473163155	FALSE	Down in DG
PS_(36:2)	PS	0.0123729520540214	5.41064944271627	5.39827649066225	0.732838810027294	t-test	0.952914524160746	FALSE	Up in DG
PS_(36:1)	PS	-0.0136069764609461	5.0759123463797	5.08951932284065	0.753543977740612	t-test	0.952914524160746	FALSE	Down in DG
PS_(40:2)	PS	-0.771597554515988	-4.68516521182988	-3.9135676573139	0.947684223158634	Mann-Whitney	0.952914524160746	FALSE	Down in DG
PS_(34:1)	PS	0.00852706645507073	3.33116219552193	3.32263512906686	0.900796548246231	Mann-Whitney	0.952914524160746	FALSE	Up in DG
PS_(32:1)	PS	-0.325750374543307	-1.36934514733028	-1.04359477278697	0.952914524160746	Mann-Whitney	0.952914524160746	FALSE	Down in DG
CL_(73:07)	CL	-2.74526978328073	0.225917727502219	2.97118751078295	0.880029867937216	Mann-Whitney	0.963369558144851	FALSE	Down in DG
CL_(73:08)	CL	-1.95573008355625	1.77324758121813	3.72897766477438	0.427258703881884	Mann-Whitney	0.963369558144851	FALSE	Down in DG
CL_(70:05)	CL	-0.400632136828045	2.35516101135839	2.75579314818644	0.256367716754434	Mann-Whitney	0.963369558144851	FALSE	Down in DG
CL_(70:07)	CL	-0.00237033495685157	5.3404151619055	5.34278549686235	0.622677007166341	Mann-Whitney	0.963369558144851	FALSE	Down in DG
CL_(70:06)	CL	-0.045512079900548	4.68658864996126	4.73210072986181	0.963369558144851	Mann-Whitney	0.963369558144851	FALSE	Down in DG
